R3.14.12.8,Version,StreamDevice,areaDetector,astlib,asyn,autosave,bancomm,busy,calc,drvSerial,gemUtil,geminiRec,pcre,pvload,seq,slalib,sscan,support,tcslib,timelib,
AbDf1,2-0-3,-,-,-,-,-,-,-,-,2-0-7,-,-,-,-,-,-,-,work,-,-,
StreamDevice,2-7-7-3,-,-,-,4-34-1,-,-,-,3-6-1-4,-,-,-,8-38-3,-,2-2-5-3,-,2-10-3,-,-,-,
agSeq,1-0,-,-,-,-,-,-,-,-,-,-,4-1-6,-,-,-,1-9-8,-,work,1-0-10,1-9-17,
agSeq,2-0,-,-,-,-,-,-,-,-,-,-,4-1-11,-,-,-,1-9-10,-,work,1-0-16,2-0-8,
agSeq,2-1,-,-,-,-,-,-,-,-,-,-,4-1-11,-,-,-,1-9-10,-,work,1-0-16,2-0-8,
agSeq,2-4,-,-,-,-,-,-,-,-,-,-,4-1-11,-,-,-,1-9-10,-,work,1-0-16,2-0-8,
agSeq,2-5,-,-,-,-,-,-,-,-,-,-,4-1-11,-,-,-,1-9-10,-,work,1-0-16,2-0-8,
agSeq,2-6,-,-,-,-,-,-,-,-,-,-,4-1-11,-,-,-,1-9-10,-,work,1-0-16,2-0-8,
astlib,1-6-12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1-9-10,-,work,-,2-0-8,
astlib,1-6-5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1-9-7,-,work,-,1-9-13,
astlib,1-6-7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1-9-8,-,work,-,1-9-16,
astlib,1-6-8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1-9-8,-,work,-,1-9-17,
asyn,4-34-1,-,-,-,-,-,-,-,-,-,-,-,-,-,2-2-5-3,-,-,-,-,-,
btods,0-1,-,0-0-2-tr,-,4-34-1,5-7-1-3,-,1-7-1,3-6-1-4,-,-,4-1-6,-,1-1-3,-,1-9-8,2-10-3,work,-,-,
busy,1-7-1,-,-,-,4-34-1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
calc,3-6-1-4,-,-,-,-,-,-,-,-,-,-,-,-,-,2-2-5-3,-,2-10-3,-,-,-,
ecsMotorRecord,1-0-1,-,-,-,-,-,-,-,-,-,-,4-1-11,-,-,-,-,-,work,-,-,
gemUtil,1-11,-,-,-,-,-,-,-,-,-,-,4-1-9,-,-,-,-,-,work,-,-,
gemUtil,1-13,-,-,-,-,-,-,-,-,-,-,4-1-11,-,-,-,-,-,work,-,-,
gemUtil,1-8,-,-,-,-,-,-,-,-,-,-,4-1-6,-,-,-,-,-,work,-,-,
gemUtil,1-9,-,-,-,-,-,-,-,-,-,-,4-1-6,-,-,-,-,-,work,-,-,
iocStats,3-1-14-4,-,-,-,-,-,-,-,-,-,-,-,-,-,2-2-3-2,-,-,work,-,-,
iocStats,3-1-14-5,-,-,-,-,-,-,-,-,-,-,-,-,-,2-2-3-2,-,-,work,-,-,
iocStats,3-1-14-6,-,-,-,-,-,-,-,-,-,-,-,-,-,2-2-3-2,-,-,work,-,-,
iocStats,3-1-16-4,-,-,-,-,-,-,-,-,-,-,-,-,-,2-2-5-3,-,-,work,-,-,
iocStats,3-1-16-5,-,-,-,-,-,-,-,-,-,-,-,-,-,2-2-5-3,-,-,work,-,-,
oiwfsgw,1-0,-,-,-,-,-,-,-,-,-,-,4-1-6,-,-,-,1-9-8,-,work,1-0-10,-,
oiwfsgw,2-0,-,-,-,-,-,-,-,-,-,-,4-1-11,-,-,-,1-9-10,-,work,1-0-16,-,
oiwfsgw,2-1,-,-,-,-,-,-,-,-,-,-,4-1-11,-,-,-,1-9-10,-,work,1-0-16,-,
pmaclib,1-1-11,-,-,-,-,-,-,-,-,-,1-12,4-1-10,-,-,-,-,-,work,-,-,
pmaclib,1-1-12,-,-,-,-,-,-,-,-,-,1-13,4-1-11,-,-,-,-,-,work,-,-,
pmaclib,1-1-5,-,-,-,-,-,-,-,-,-,1-5,4-1-6,-,-,-,-,-,work,-,-,
pmaclib,1-1-6,-,-,-,-,-,-,-,-,-,1-5,4-1-6,-,-,-,-,-,work,-,-,
pmaclib,1-1-7,-,-,-,-,-,-,-,-,-,1-5,4-1-6,-,-,-,-,-,work,-,-,
pmaclib,1-1-8,-,-,-,-,-,-,-,-,-,1-5,4-1-6,-,-,-,-,-,work,-,-,
pmaclib,1-1-9,-,-,-,-,-,-,-,-,-,1-5,4-1-6,-,-,-,-,-,work,-,-,
pvload,1-1-3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,work,-,-,
seeingMonitors,1-8,2-7-7-3,-,-,4-34-1,-,-,-,-,-,1-11,4-1-9,-,-,-,-,-,-,-,-,
sscan,2-10-3,-,-,-,-,-,-,-,-,-,-,-,-,-,2-2-5-3,-,-,work,-,-,
std,3-4-3,-,-,-,4-34-1,-,-,-,-,-,-,-,-,-,2-2-5-3,-,-,work,-,-,
tcslib,1-0-10,-,-,1-6-8,-,-,-,-,-,-,-,4-1-6,-,-,-,1-9-8,-,work,-,1-9-17,
tcslib,1-0-14,-,-,1-6-12,-,-,-,-,-,-,-,4-1-8,-,-,-,1-9-10,-,work,-,2-0-8,
tcslib,1-0-15,-,-,1-6-12,-,-,-,-,-,-,-,4-1-9,-,-,-,1-9-10,-,work,-,2-0-8,
tcslib,1-0-16,-,-,1-6-12,-,-,-,-,-,-,-,4-1-11,-,-,-,1-9-10,-,work,-,2-0-8,
tcslib,1-0-7,-,-,1-6-5,-,-,-,-,-,-,-,4-1-6,-,-,-,1-9-7,-,work,-,1-9-13,
timeProbe,1-1-14,-,-,-,-,-,1-6-10,-,-,-,-,4-1-10,-,-,-,-,-,work,-,-,
timeProbe,1-1-15,-,-,-,-,-,1-6-10,-,-,-,-,4-1-11,-,-,-,-,-,work,-,-,
timeProbe,1-1-5,-,-,-,-,-,1-6-8,-,-,-,-,4-1-6,-,-,-,-,-,work,-,-,
timeProbe,1-1-7,-,-,-,-,-,1-6-10,-,-,-,-,4-1-6,-,-,-,-,-,work,-,-,
timelib,1-9-13,-,-,-,-,-,1-6-8,-,-,-,-,-,-,-,2-2-3-2,1-9-7,-,work,-,-,
timelib,1-9-17,-,-,-,-,-,1-6-10,-,-,-,-,-,-,-,2-2-3-2,1-9-8,-,-,-,-,
timelib,2-0-8,-,-,-,-,-,-,-,-,-,-,-,-,-,2-2-5-3,1-9-10,-,-,-,-,
tptlib,1-0-2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1-9-7,-,work,-,-,
tptlib,1-0-4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1-9-8,-,work,-,-,
tptlib,1-0-5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1-9-10,-,work,-,-,
wsSensor,1-12,2-7-7-3,-,-,4-34-1,-,-,-,-,-,-,4-1-9,8-38-3,-,-,-,-,work,-,-,
wsWeb,1-11,2-7-7-3,-,-,4-34-1,-,-,-,-,-,1-11,4-1-9,-,-,-,-,-,-,-,-,
xycom,2-1-5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,work,-,-,
